Transaction_ID,Type,Transaction_Type,Customer_Name,Total,Success,Day,Transaction_Notes,Source,Country,Auth_code
1234567,Charge,Goods and Services,James,3286,1,1/2/2023,Thanks,Tablet,US,X8JZG7YH
9876543,Refund,Friends & Family,Emily,1624,1,1/3/2023,Raffle,Phone,US,D2F3R6KP
4567890,Charge,Goods and Services,Liam,2659,1,1/4/2023,Thanks,Desktop,US,Q9L4T1VW
7654321,Charge,Goods and Services,Olivia,4897,1,1/5/2023,Thanks,Phone,US,M7N5P0QI
2345678,Charge,Friends & Family,Benjamin,3643,1,1/6/2023,Thanks,Desktop,UK,B6K8D3XJ
8765432,Charge,Goods and Services,Ryan,1320,1,1/7/2023,Razz,Desktop,US,H1R9G4ZO
3456789,Refund,Goods and Services,Noah,2819,1,1/9/2023,Thanks,Phone,US,U3V2L6SX
6543210,Charge,Goods and Services,Mia,4388,1,1/10/2023,Thanks,Desktop,US,E5C0W9FN
5432109,Charge,Friends & Family,William,450,1,1/13/2023,Lottery,Phone,US,Y2A7M8TD
3210987,Charge,Goods and Services,Ava,4202,1,1/14/2023,Thanks,Desktop,US,P4O1I6LQ
7890123,Charge,Friends & Family,Samuel,4872,1,1/15/2023,Thanks,Desktop,US,T6X3H9BV
8901234,Charge,Goods and Services,Samuel,2910,1,1/16/2023,,Phone,US,K8J0R2GZ
6789012,Charge,Goods and Services,Jacob,2714,1,1/17/2023,Thanks,Phone,US,F7Q5N4MP
2109876,Refund,Friends & Family,Harper,1047,1,1/18/2023,Thanks,Phone,US,S9V1W6TC
4321098,Charge,Goods and Services,Ethan,2592,1,1/20/2023,Thanks,Phone,US,G3X2K8DO
5678901,Charge,Goods and Services,Amelia,1757,1,1/21/2023,Lottery,Desktop,US,R1H4Z7EJ
8765432,Charge,Friends & Family,Alexander,4760,1,1/22/2023,Thanks,Desktop,UK,L6T0P9NQ
1098765,Charge,Goods and Services,Evelyn,2139,1,1/23/2023,Thanks,Desktop,US,W2M7F5KV
9876543,Charge,Friends & Family,Daniel,1535,1,1/24/2023,Thanks,Tablet,US,I9O3G8XA
5432109,Refund,Goods and Services,Abigail,3998,1,1/25/2023,Thanks,Desktop,US,Z4D1C6YH
4321098,Charge,Goods and Services,Michael,3348,1,1/25/2023,Thanks,Desktop,US,N8K7Q0TS
6789012,Charge,Friends & Family,Elizabeth,3071,1,1/25/2023,Thanks,Desktop,US,O6L3V9WP
8765432,Charge,Goods and Services,Henry,4881,1,1/25/2023,Thanks,Phone,US,C5W2J4IR
7890123,Charge,Goods and Services,Ella,3191,1,1/27/2023,Lottery,Phone,US,J1X8G3HZ
6543210,Charge,Goods and Services,Christopher,3563,1,1/29/2023,Lottery,Desktop,US,U4V7B6SK
2345678,Refund,Friends & Family,Grace,3962,1,1/30/2023,Lottery,Desktop,US,H9N2F1OQ
1234567,Charge,Goods and Services,Matthew,4565,1,1/31/2023,Lottery,Phone,US,Y3A6T0LM
3456789,Charge,Friends & Family,Scarlett,4575,1,2/1/2023,Thanks,Phone,US,E1R4C7KP
2109876,Charge,Goods and Services,David,2637,1,2/2/2023,Thanks,Desktop,US,P8W5Z2GV
3210987,Charge,Goods and Services,Victoria,2040,1,2/3/2023,Thanks,Desktop,US,T2X9K3JD
5432109,Charge,Goods and Services,Andrew,4285,1,2/4/2023,Thanks,Desktop,US,Q6O0I7FN
4567890,Charge,Goods and Services,Andrew,2193,1,2/4/2023,Thanks,Phone,US,M4G8H1VY
9876543,Charge,Goods and Services,John,3819,1,2/4/2023,Thanks,Desktop,US,L7J3W0RE
5678901,Refund,Friends & Family,Lily,2347,1,2/5/2023,Thanks,Tablet,US,G9S5P2XK
